T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG,Year,Month,Day
12.5,20,7,-,65,0,2.3,6.9,20.6,-,-,-,-,-,2009,12,25
13.8,21,6,-,58,0,1.6,2.6,9.4,-,-,-,-,1,2009,12,26
13.7,21,7,-,58,0,1.6,3.3,9.4,-,-,-,-,1,2009,12,27
-,-,-,-,-,-,-,-,-,-,-,-,-,1,2009,12,28
-,-,-,-,-,-,-,-,-,-,-,-,-,1,2009,12,29
-,-,-,-,-,-,-,-,-,-,-,-,-,1,2009,12,30
12.1,19,6,-,75,0,1.1,7.8,16.5,-,-,-,-,1,2009,12,31
13.2,21,7,-,75,0,1.3,7.2,13,-,-,-,-,1,2010,01,1
10.4,15,8,-,96,0,0.3,7.6,13,-,-,-,-,1,2010,01,2
11.5,14,9,-,98,-,0.8,11.9,18.3,-,o,-,-,1,2010,01,3
-,-,-,-,-,-,-,-,-,-,-,-,-,1,2010,01,4
-,-,-,-,-,-,-,-,-,-,-,-,-,1,2010,01,5
-,-,-,-,-,-,-,-,-,-,-,-,-,1,2010,01,6
11.8,18,8,-,89,0,0.3,5.6,9.4,-,-,-,-,1,2010,01,7
10.1,12,8,-,99,0,0.3,8.1,14.8,-,-,-,-,1,2010,01,8
10.9,17,8,-,87,0,1.6,9.3,14.8,-,-,-,-,1,2010,01,9
-,-,-,-,-,-,-,-,-,-,-,-,-,1,2010,01,10
-,-,-,-,-,-,-,-,-,-,-,-,-,1,2010,01,11
-,-,-,-,-,-,-,-,-,-,o,-,-,1,2010,01,12
10.4,16,7,-,90,0,0.5,8,13,-,-,-,-,1,2010,01,13
10,15,7,-,93,0,0.6,10.7,18.3,-,-,-,-,1,2010,01,14
10.3,16,4,-,90,0,0.6,8.5,16.5,-,-,-,-,1,2010,01,15
-,-,-,-,-,-,-,-,-,-,-,-,-,1,2010,01,16
-,-,-,-,-,-,-,-,-,-,-,-,-,1,2010,01,17
-,-,-,-,-,-,-,-,-,-,-,-,-,1,2010,01,18
12,19,6,-,78,0,0.8,4.3,9.4,-,-,-,-,1,2010,01,19
11.2,19,7,-,87,0,0.5,4.4,9.4,-,-,-,-,1,2010,01,20
10.9,18,7,-,86,0,0.5,4.1,9.4,-,-,-,-,1,2010,01,21
-,-,-,-,-,-,-,-,-,-,-,-,-,1,2010,01,22
-,-,-,-,-,-,-,-,-,-,-,-,-,1,2010,01,23
-,-,-,-,-,-,-,-,-,-,-,-,-,1,2010,01,24
17.6,24,12,-,69,0,1.6,4.8,16.5,-,-,-,-,1,2010,01,25
13.3,19,9,-,94,0,0.3,5.6,11.1,-,-,-,-,1,2010,01,26
15.7,23,9,-,77,0,1.1,6.1,11.1,-,-,-,-,1,2010,01,27
-,-,-,-,-,-,-,-,-,-,-,-,-,1,2010,01,28
-,-,-,-,-,-,-,-,-,-,-,-,-,1,2010,01,29
-,-,-,-,-,-,-,-,-,-,-,-,-,1,2010,01,30
14.8,21,8,-,60,0,2.7,7.6,14.8,-,-,-,-,-,2010,01,31
16.2,23,10,-,57,0,2.1,4.4,11.1,-,-,-,-,-,2010,02,1
15.8,22,10,-,63,0,2.1,6.9,16.5,-,-,-,-,1,2010,02,2
15.6,23,9,-,56,0,2.4,9.1,16.5,-,-,-,-,1,2010,02,3
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,02,4
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,02,5
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,02,6
22.4,30,14,-,46,0,2.3,6.3,11.1,-,-,-,-,-,2010,02,7
19.8,25,15,-,70,-,2.1,17.4,27.8,-,o,-,o,-,2010,02,8
17.1,22,13,-,66,0,3.1,12.4,25.9,27.8,-,-,-,-,2010,02,9
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,02,10
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,02,11
-,-,-,-,-,-,-,-,-,-,-,-,o,-,2010,02,12
18.2,23,13,-,71,0,1.4,8.1,13,-,-,-,-,1,2010,02,13
16.4,22,10,-,63,0,1.8,7.8,18.3,-,-,-,-,1,2010,02,14
16.1,20,12,-,70,0,1.6,4.8,13,-,-,-,-,-,2010,02,15
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,02,16
-,-,-,-,-,-,-,-,-,-,-,-,-,1,2010,02,17
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,02,18
17.6,23,10,-,49,0,3.4,8.7,14.8,-,-,-,-,-,2010,02,19
17.5,25,10,-,51,0,2.6,9.6,18.3,-,-,-,-,-,2010,02,20
19.2,27,11,-,52,0,3.1,7.8,22.2,33.5,-,-,-,-,2010,02,21
-,-,-,-,-,-,-,-,-,-,o,-,o,-,2010,02,22
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,02,23
-,-,-,-,-,-,-,-,-,-,-,-,-,1,2010,02,24
20.2,27,13,-,62,0,1.9,9.1,18.3,-,-,-,-,1,2010,02,25
22.2,29,14,-,52,0,3.1,8.1,22.2,-,-,-,-,-,2010,02,26
23.2,31,16,-,52,0,3.1,8.9,20.6,-,-,-,-,-,2010,02,27
-,-,-,-,-,-,-,-,-,-,-,-,-,1,2010,02,28
25.9,32,20,-,43,0,4,6.9,18.3,-,-,-,-,-,2010,03,1
24.5,31,19,-,51,0,3.5,11.1,24.1,-,-,-,-,-,2010,03,2
24.4,30,17,-,43,0,3.1,7.4,14.8,-,-,-,-,-,2010,03,3
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,03,4
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,03,5
-,-,-,-,-,-,-,-,-,-,o,-,-,-,2010,03,6
21.9,27,17,-,54,0,4.7,15.2,22.2,-,-,-,-,-,2010,03,7
20,25,13,-,59,0,3.7,12.2,20.6,-,-,-,-,1,2010,03,8
21.6,27,13,-,54,0,3.2,9.1,18.3,-,-,-,-,1,2010,03,9
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,03,10
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,03,11
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,03,12
23.7,32,16,-,48,0,2.9,10.9,20.6,-,-,-,-,-,2010,03,13
24.6,32,16,-,47,0,3.1,10.6,18.3,-,-,-,-,-,2010,03,14
25,31,18,-,43,0,3.1,7.6,14.8,-,-,-,-,-,2010,03,15
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,03,16
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,03,17
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,03,18
26.9,34,18,-,47,0,2.4,8.3,22.2,-,-,-,-,-,2010,03,19
28,36,20,-,44,0,2.7,6.1,18.3,-,-,-,-,-,2010,03,20
30,39,21,-,35,0,2.4,8.3,20.6,-,-,-,-,-,2010,03,21
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,03,22
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,03,23
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,03,24
29.3,37,22,-,34,0,2.6,5.4,13,-,-,-,-,-,2010,03,25
30.9,38,22,-,27,0,2.6,6.5,14.8,-,-,-,-,-,2010,03,26
30.6,38,21,-,28,0,3.1,9.3,18.3,-,-,-,-,-,2010,03,27
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,03,28
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,03,29
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,03,30
30.4,37,23,-,27,0,3.4,6.5,11.1,-,-,-,-,-,2010,03,31
30.2,37,23,-,23,0,3.2,9.1,22.2,-,-,-,-,-,2010,04,1
31.1,38,22,-,21,0,3.5,10.7,22.2,33.5,-,-,o,-,2010,04,2
31.2,37,25,-,22,0,3.5,8,16.5,-,-,-,-,-,2010,04,3
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,04,4
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,04,5
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,04,6
30.3,38,21,-,17,0,3.2,10.4,25.9,37,-,-,-,-,2010,04,7
32.6,39,24,-,15,0,3.7,8.5,22.2,-,-,-,-,-,2010,04,8
32.8,40,23,-,17,0,3.1,11.7,25.9,-,-,-,-,-,2010,04,9
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,04,10
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,04,11
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,04,13
33.8,41,26,-,16,0,3.4,10.4,25.9,37,-,-,-,-,2010,04,14
34.6,42,25,-,14,0,3.2,7.6,18.3,-,-,-,-,-,2010,04,15
34.1,39,28,-,18,0,2.4,8.9,24.1,-,-,-,-,-,2010,04,22
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,04,23
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,04,24
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,04,25
34.8,41,27,-,18,0,2.3,6.1,18.3,-,-,-,-,-,2010,04,26
34.1,40,28,-,25,0,2.3,10.7,18.3,33.5,-,-,-,-,2010,04,28
32.9,40,28,-,33,-,2.4,10.4,37,55.4,o,-,o,-,2010,04,29
-,-,-,-,-,-,-,-,-,-,o,-,o,-,2010,04,30
30.5,38,25,-,37,-,2.9,11.5,27.8,50,o,-,o,-,2010,05,1
30.8,36,24,-,39,0,2.7,6.7,14.8,-,-,-,-,-,2010,05,2
32.1,38,26,-,35,0,3.1,13.9,22.2,-,-,-,-,-,2010,05,3
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,05,4
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,05,5
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,05,6
29,35,24,-,52,0,2.7,13.7,27.8,46.5,-,-,o,-,2010,05,7
31.6,37,24,-,37,0,2.7,8.9,33.5,46.5,-,-,-,-,2010,05,8
32.8,38,27,-,30,0,2.6,13.3,20.6,37,-,-,-,-,2010,05,9
-,-,-,-,-,-,-,-,-,-,o,-,o,-,2010,05,10
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,05,11
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,05,12
37.8,44,28,-,13,0,2.6,11.3,18.3,37,-,-,o,-,2010,05,13
37,42,32,-,16,-,2.7,11.5,24.1,40.7,o,-,o,-,2010,05,14
36.3,42,30,-,18,0,2.7,8,14.8,27.8,-,-,-,-,2010,05,15
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,05,16
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,05,17
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,05,18
36.3,41,31,-,25,0,2.4,8.7,22.2,33.5,-,-,-,-,2010,05,19
36.4,41,28,-,16,0,2.7,11.3,20.6,37,-,-,-,-,2010,05,20
34.9,42,26,-,18,0,2.3,7.2,18.3,29.4,-,-,-,-,2010,05,21
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,05,22
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,05,23
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,05,24
36.7,45,30,-,23,0,2.4,9.1,18.3,37,-,-,-,-,2010,05,25
38.7,45,32,-,17,0,2.7,11.9,25.9,37,-,-,-,-,2010,05,26
37.3,42,30,-,35,0,2.3,14.6,22.2,40.7,-,-,-,-,2010,05,27
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,05,28
-,-,-,-,-,-,-,-,-,-,o,-,o,-,2010,05,29
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,05,30
36.1,42,27,-,18,0,2.7,9.6,18.3,37,-,-,-,-,2010,05,31
37.9,43,31,-,18,0,2.3,16.5,27.8,53.5,-,-,-,-,2010,06,1
38.4,42,34,-,20,0,1.8,16.3,29.4,44.3,-,-,-,-,2010,06,2
33.8,41,27,-,37,-,1.8,20.2,27.8,46.5,o,-,o,-,2010,06,3
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,06,4
-,-,-,-,-,-,-,-,-,-,o,-,o,-,2010,06,5
-,-,-,-,-,-,-,-,-,-,o,-,-,-,2010,06,6
27.9,31,25,-,53,-,2.1,11.9,24.1,40.7,o,-,-,-,2010,06,7
24.4,27,21,-,82,-,1.6,13,24.1,-,o,-,-,-,2010,06,8
31.1,37,22,-,43,0,2.7,12.2,22.2,37,-,-,-,-,2010,06,9
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,06,10
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,06,11
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,06,12
33.1,42,26,-,36,-,2.4,15,27.8,46.5,o,-,o,-,2010,06,13
32.5,38,26,-,42,0,2.6,10.9,24.1,29.4,-,-,-,-,2010,06,14
34.6,39,28,-,32,0,3.1,10.4,24.1,33.5,-,-,-,-,2010,06,15
-,-,-,-,-,-,-,-,-,-,o,-,-,-,2010,06,16
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,06,17
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,06,18
37.8,43,29,-,25,0,3.1,7.4,16.5,-,-,-,-,-,2010,06,19
39,45,32,-,26,0,3.5,13.1,20.6,-,-,-,-,-,2010,06,20
37.8,44,32,-,40,0,3.1,13.5,22.2,-,-,-,-,-,2010,06,21
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,06,22
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,06,23
-,-,-,-,-,-,-,-,-,-,o,-,o,-,2010,06,24
31.6,36,26,-,54,0,2.3,10.2,18.3,-,-,-,-,-,2010,06,25
35.3,41,29,-,41,-,2.6,10.4,20.6,37,o,-,o,-,2010,06,26
35.3,40,28,-,44,0,2.6,9.3,22.2,37,-,-,o,-,2010,06,27
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,06,28
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,06,29
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,06,30
30.9,37,27,-,66,0,2.3,14.3,37,55.4,-,-,o,-,2010,07,1
33.6,39,28,-,55,0,2.4,11.5,16.5,-,-,-,-,-,2010,07,2
33.2,37,28,-,60,-,2.7,15.2,25.9,33.5,o,-,o,-,2010,07,3
-,-,-,-,-,-,-,-,-,-,o,-,o,-,2010,07,4
-,-,-,-,-,-,-,-,-,-,o,-,o,-,2010,07,5
-,-,-,-,-,-,-,-,-,-,o,-,o,-,2010,07,6
29.6,36,26,-,82,-,2.1,10.2,20.6,33.5,o,-,o,-,2010,07,7
31.6,35,28,-,74,0,2.4,9.6,18.3,-,-,-,-,-,2010,07,8
32.9,36,29,-,70,0,2.6,7.4,16.5,-,-,-,-,-,2010,07,9
-,-,-,-,-,-,-,-,-,-,o,-,-,-,2010,07,10
-,-,-,-,-,-,-,-,-,-,-,-,o,-,2010,07,11
-,-,-,-,-,-,-,-,-,-,-,-,o,-,2010,07,12
30.8,34,26,-,70,0,2.4,7,16.5,-,-,-,-,-,2010,07,13
33,36,30,-,63,0,2.4,9.6,18.3,-,-,-,-,-,2010,07,14
31.4,35,27,-,73,-,1.8,6.5,27.8,46.5,o,-,o,-,2010,07,15
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,07,16
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,07,17
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,07,18
29.7,34,26,-,83,-,2.4,12.2,20.6,-,o,-,-,-,2010,07,19
27.1,30,25,-,93,-,2.4,9.4,13,-,o,-,o,-,2010,07,20
29.2,32,26,-,82,0,2.7,10.4,14.8,-,-,-,-,-,2010,07,21
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,07,22
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,07,23
-,-,-,-,-,-,-,-,-,-,-,-,o,-,2010,07,24
30.8,34,28,-,79,0,3.4,12,18.3,33.5,-,-,-,-,2010,07,25
32.1,35,29,-,67,0,4.5,18.9,27.8,51.9,-,-,-,-,2010,07,26
27.4,28,26,-,91,-,4.2,21.1,33.5,55.4,o,-,o,-,2010,07,27
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,07,28
-,-,-,-,-,-,-,-,-,-,o,-,o,-,2010,07,29
-,-,-,-,-,-,-,-,-,-,o,-,-,-,2010,07,30
26.2,29,24,-,98,-,2.1,8.1,16.5,-,o,-,o,-,2010,07,31
27,30,26,-,94,-,2.7,7.8,16.5,-,o,-,o,-,2010,08,1
28.9,33,26,-,83,-,3.5,16.3,25.9,-,o,-,o,-,2010,08,2
29.2,33,27,-,82,-,3.5,18.1,25.9,-,o,-,o,-,2010,08,3
-,-,-,-,-,-,-,-,-,-,o,-,o,-,2010,08,4
-,-,-,-,-,-,-,-,-,-,o,-,-,-,2010,08,5
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,08,6
31.1,34,28,-,73,0,3.7,14.4,25.9,-,-,-,-,-,2010,08,7
31.8,35,28,-,71,0,3.7,11.5,20.6,33.5,-,-,-,-,2010,08,8
31.6,35,28,-,71,0,3.4,8,18.3,-,-,-,-,-,2010,08,9
-,-,-,-,-,-,-,-,-,-,o,-,o,-,2010,08,10
-,-,-,-,-,-,-,-,-,-,o,-,o,-,2010,08,11
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,08,12
29.1,34,26,-,84,0,2.6,6.7,18.3,-,-,-,o,-,2010,08,13
28.3,32,26,-,90,-,2.4,7.4,16.5,-,o,-,o,-,2010,08,14
29.1,34,26,-,87,-,2.6,8.9,22.2,-,o,-,o,-,2010,08,15
-,-,-,-,-,-,-,-,-,-,o,-,-,-,2010,08,16
-,-,-,-,-,-,-,-,-,-,o,-,o,-,2010,08,17
-,-,-,-,-,-,-,-,-,-,o,-,o,-,2010,08,18
26.9,27,26,-,98,-,2.6,5,16.5,-,o,-,o,-,2010,08,19
28.1,32,26,-,93,-,2.6,8.1,14.8,-,o,-,o,-,2010,08,20
27,29,26,-,98,-,2.1,7.2,13,-,o,-,o,-,2010,08,21
-,-,-,-,-,-,-,-,-,-,o,-,o,-,2010,08,22
-,-,-,-,-,-,-,-,-,-,o,-,o,-,2010,08,23
-,-,-,-,-,-,-,-,-,-,o,-,o,-,2010,08,24
27.3,31,25,-,90,-,2.3,7.8,14.8,-,o,-,o,-,2010,08,25
28.9,32,25,-,83,0,2.3,6.7,11.1,-,-,-,-,-,2010,08,26
29.5,33,28,-,86,-,1.8,3.9,14.8,-,o,-,o,-,2010,08,27
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,08,28
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,08,29
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,08,30
29.8,33,28,-,83,0,3.2,10.2,22.2,-,-,-,-,-,2010,08,31
28.9,34,27,-,88,-,2.9,9.4,22.2,-,o,-,o,-,2010,09,1
28.8,34,27,-,88,-,2.9,5.9,11.1,-,o,-,o,-,2010,09,2
27.6,33,26,-,90,-,2.7,8.1,16.5,-,o,-,o,-,2010,09,3
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,09,4
-,-,-,-,-,-,-,-,-,-,o,-,o,-,2010,09,5
-,-,-,-,-,-,-,-,-,-,o,-,o,-,2010,09,6
28.6,31,27,-,89,-,3.1,9.6,18.3,-,o,-,-,-,2010,09,7
27.7,31,26,-,92,-,3.5,11.9,18.3,33.5,o,-,o,-,2010,09,8
28.5,32,26,-,89,-,3.2,10.4,16.5,-,o,-,-,-,2010,09,9
-,-,-,-,-,-,-,-,-,-,-,-,o,-,2010,09,10
-,-,-,-,-,-,-,-,-,-,o,-,o,-,2010,09,11
-,-,-,-,-,-,-,-,-,-,o,-,o,-,2010,09,12
26.7,31,25,-,94,-,3.2,6.5,18.3,-,o,-,o,-,2010,09,13
27.9,31,25,-,86,0,3.2,6.3,16.5,-,-,-,-,-,2010,09,14
27.3,31,25,-,86,-,3.4,7.6,20.6,37,o,-,-,-,2010,09,15
-,-,-,-,-,-,-,-,-,-,o,-,-,-,2010,09,16
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,09,17
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,09,18
22.8,26,21,-,96,-,3.7,14.3,25.9,-,o,-,-,-,2010,09,19
25.6,29,23,-,96,-,3.4,10,18.3,-,o,-,o,-,2010,09,20
25.9,27,25,-,98,-,2.9,9.1,14.8,-,o,-,-,-,2010,09,21
-,-,-,-,-,-,-,-,-,-,o,-,o,-,2010,09,22
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,09,23
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,09,24
27.5,32,23,-,80,0,3.4,8.9,18.3,-,-,-,-,-,2010,09,25
27.2,32,23,-,77,0,3.4,9.1,22.2,-,-,-,-,-,2010,09,26
26.8,33,22,-,69,0,3.7,8.1,22.2,-,-,-,-,-,2010,09,27
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,09,28
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,09,29
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,09,30
27.8,34,22,-,68,0,2.9,5,14.8,-,-,-,-,-,2010,10,1
28.1,34,23,-,73,0,2.4,3.9,11.1,-,-,-,-,-,2010,10,2
28.3,34,23,-,65,0,2.6,4.1,13,-,-,-,-,-,2010,10,3
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,10,4
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,10,5
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,10,6
27.5,32,24,-,76,0,1.3,3.5,9.4,-,-,-,-,-,2010,10,7
27.9,33,23,-,68,0,1.9,4.3,9.4,-,-,-,-,-,2010,10,8
27.8,33,22,-,64,0,2.3,6.5,16.5,-,-,-,-,-,2010,10,9
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,10,10
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,10,11
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,10,12
27.7,33,21,-,59,0,3.7,11.1,24.1,-,-,-,-,-,2010,10,13
27.1,33,21,-,59,0,3.5,8.7,22.2,-,-,-,-,-,2010,10,14
27.4,33,21,-,59,0,2.9,5.9,11.1,-,-,-,-,-,2010,10,15
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,10,16
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,10,17
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,10,18
28,32,22,-,68,0,2.3,3.9,11.1,-,-,-,-,-,2010,10,19
27.1,32,22,-,70,0,1.4,5.7,14.8,-,-,-,-,-,2010,10,20
26.7,31,23,-,71,0,1.4,5.6,13,-,-,-,-,-,2010,10,21
-,-,-,-,-,-,-,-,-,-,-,-,o,-,2010,10,22
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,10,23
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,10,24
22.7,29,15,-,57,0,2.1,5.2,14.8,-,-,-,-,-,2010,10,25
23.9,30,18,-,51,0,1.9,5,13,-,-,-,-,-,2010,10,26
22.9,29,17,-,51,0,1.6,6.9,16.5,-,-,-,-,-,2010,10,27
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,10,28
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,10,29
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,10,30
22.9,29,17,-,61,0,1.4,4.1,18.3,-,-,-,-,-,2010,10,31
22.1,29,16,-,61,0,1.6,6.9,20.6,-,-,-,-,-,2010,11,1
22.1,29,16,-,59,0,1.6,4.6,11.1,-,-,-,-,-,2010,11,2
22.3,29,16,-,57,0,1.8,5.4,18.3,-,-,-,-,-,2010,11,3
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,11,4
-,-,-,-,-,-,-,-,-,-,-,-,-,1,2010,11,5
-,-,-,-,-,-,-,-,-,-,-,-,-,1,2010,11,6
22.8,29,17,-,61,0,1.3,3.1,9.4,-,-,-,-,1,2010,11,7
23.8,29,18,-,62,0,1.9,4.1,13,-,-,-,-,-,2010,11,8
24.1,29,18,-,60,0,2.1,3.3,11.1,-,-,-,-,-,2010,11,9
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,11,10
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,11,11
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,11,12
21.6,26,19,-,70,-,1.1,8.9,18.3,33.5,o,-,-,-,2010,11,13
23.2,28,19,-,70,0,1.4,5.7,13,-,-,-,-,-,2010,11,14
21.9,30,19,-,71,0,1.4,4.8,13,-,-,-,-,1,2010,11,15
-,-,-,-,-,-,-,-,-,-,o,-,-,1,2010,11,16
-,-,-,-,-,-,-,-,-,-,o,-,o,1,2010,11,17
-,-,-,-,-,-,-,-,-,-,-,-,-,1,2010,11,18
19.5,26,14,-,61,0,1.6,5.7,14.8,-,-,-,-,1,2010,11,19
17.3,24,13,-,65,0,1.9,9.6,20.6,33.5,-,-,-,-,2010,11,20
18.6,25,12,-,57,0,2.3,8.3,22.2,-,-,-,-,-,2010,11,21
-,-,-,-,-,-,-,-,-,-,o,-,-,1,2010,11,22
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,11,23
-,-,-,-,-,-,-,-,-,-,o,-,-,-,2010,11,24
19.1,22,16,-,93,0,1.1,2.2,9.4,-,-,-,-,1,2010,11,25
18.2,24,14,-,77,0,1.6,6.5,14.8,-,-,-,-,1,2010,11,26
18.7,25,13,-,53,0,2.9,5.7,14.8,-,-,-,-,-,2010,11,27
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,11,28
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,11,29
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,11,30
16.1,23,10,-,57,0,2.7,3.1,11.1,-,-,-,-,-,2010,12,1
16.2,22,11,-,57,0,1.9,3,13,-,-,-,-,-,2010,12,2
15.6,22,10,-,65,0,1.3,2.2,13,-,-,-,-,-,2010,12,3
-,-,-,-,-,-,-,-,-,-,-,-,-,1,2010,12,4
-,-,-,-,-,-,-,-,-,-,-,-,-,1,2010,12,5
-,-,-,-,-,-,-,-,-,-,-,-,-,1,2010,12,6
15.3,22,9,-,74,0,0.8,2.6,9.4,-,-,-,-,1,2010,12,7
15.1,22,9,-,68,0,1.1,4.3,13,-,-,-,-,1,2010,12,8
15.6,22,10,-,65,0,1.4,6.7,22.2,-,-,-,-,1,2010,12,9
-,-,-,-,-,-,-,-,-,-,-,-,-,1,2010,12,10
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,12,11
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,12,12
15.4,23,9,-,54,0,2.1,2.4,11.1,-,-,-,-,-,2010,12,13
14.6,22,8,-,59,0,2.1,5.7,16.5,-,-,-,-,-,2010,12,14
14.5,21,8,-,63,0,2.4,6.9,16.5,-,-,-,-,-,2010,12,15
-,-,-,-,-,-,-,-,-,-,-,-,-,1,2010,12,16
-,-,-,-,-,-,-,-,-,-,-,-,-,1,2010,12,17
-,-,-,-,-,-,-,-,-,-,-,-,-,1,2010,12,18
13.1,21,7,-,65,0,1.4,8.5,16.5,-,-,-,-,1,2010,12,19
12.9,21,6,-,59,0,2.4,10.6,22.2,-,-,-,-,-,2010,12,20
12.8,20,7,-,65,0,1.9,5.6,14.8,-,-,-,-,1,2010,12,21
-,-,-,-,-,-,-,-,-,-,-,-,-,1,2010,12,22
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,12,23
-,-,-,-,-,-,-,-,-,-,-,-,-,1,2010,12,24
